TÀI LIỆU THAM KHẢO,,,
Nguồn,Nội dung/Điểm mạnh,Phù hợp giai đoạn,Link
VNOI Wiki / VNOI Roadmap,"Lộ trình học thuật toán bài bản cho lập trình thi đấu, phân loại độ khó theo thang sao (⭐1-⭐2 phù hợp trình độ thi đấu THCS) — dùng làm thước đo chọn bài cho Lớp 3",Lớp 3,oj.vnoi.info/post/1275-magazine/modern
Tài liệu bồi dưỡng HSG Tin THCS (Studocu),Tài liệu chuyên đề C++ dành riêng cho bồi dưỡng học sinh giỏi Tin cấp THCS,Lớp 2 (cuối) - Lớp 3,studocu.vn (Đại học Hùng Vương - tài liệu BDHSG Tin THCS)
VietJack - Bài tập C++ có lời giải,"Kho bài tập cú pháp cơ bản đến nâng cao, có lời giải chi tiết, phù hợp luyện phản xạ","Lớp 1, Lớp 2",vietjack.com/bai_tap_cplusplus_co_giai
Wikibooks - C++,Tài liệu tham khảo cú pháp và ví dụ minh hoạ ngôn ngữ C++,Lớp 1,vi.wikibooks.org (mục Lập trình C++)
VnDoc - Đề thi Tin học trẻ,"Bộ đề thi Tin học trẻ các năm, dùng để luyện đề và làm quen cấu trúc đề thi thực tế, kể cả định dạng file .INP/.OUT","Lớp 2, Lớp 3",vndoc.com/de-thi-tin-hoc-tre-259772
28Tech Blog,"Bài viết tổng hợp lộ trình và tài liệu tự học lập trình C++ theo hướng ngắn gọn, dễ tiếp cận",Lớp 1,blog.28tech.com.vn/c-tai-lieu-hoc-lap-trinh-c
Viblo - Series lập trình thi đấu,Bài viết giới thiệu lập trình thi đấu và ngôn ngữ C++ cho người mới bắt đầu hướng thi đấu,"Lớp 1, Lớp 2",viblo.asia/p/bai-1-gioi-thieu-lap-trinh-thi-dau-va-ngon-ngu-lap-trinh-c-oOVlYRDv58W
Online Judge (luyện tập trực tuyến),"Nền tảng bắt buộc để luyện tập Stress test, chấm bài tự động và làm quen áp lực thời gian thi đấu",Lớp 3,Tham khảo hệ thống luyện tập của VNOI (oj.vnoi.info) hoặc các Online Judge khác
,,,
"Ghi chú: nên bổ sung thêm nguồn đề thi/tài liệu chính thức của Sở GD-ĐT địa phương và trường chuyên dự kiến thi, vì mỗi trường/tỉnh có phổ đề và mức độ khó khác nhau.",,,
