LỘ TRÌNH CHI TIẾT THEO MỤC KIẾN THỨC,,,
Chia theo Mục thay vì theo tuần — sau mỗi Mục cho học sinh làm ngay 5-10 bài tập thực hành để ghi nhớ cú pháp và rèn kỹ năng sửa lỗi,,,
Lớp,Mục,Nội dung chi tiết,Ứng dụng / Bài tập gợi ý
"LỚP 1
Làm quen C++",Mục 1: Giới thiệu và Thiết lập môi trường,"Giới thiệu ngôn ngữ C++, lịch sử và ứng dụng; cài đặt và sử dụng trình soạn thảo/môi trường biên dịch (Dev C++, Code::Blocks, Visual Studio); cấu trúc chương trình C++ cơ bản: #include <iostream>, using namespace std;, int main()","Cài đặt môi trường; viết chương trình đầu tiên xuất dữ liệu ra màn hình bằng cout (VD: in lời chào, in thông tin cá nhân)"
,Mục 2: Biến và Kiểu dữ liệu,"Khai báo biến và hằng số (const); các kiểu dữ liệu cơ bản: int, float/double, char, bool; dùng long long (int64_t) để tránh tràn số trong thi đấu; nhập dữ liệu bằng cin",Bài tập nhập/xuất và tính toán với nhiều kiểu dữ liệu; thử nghiệm so sánh tràn số giữa int và long long
,Mục 3: Các phép toán và Toán tử,Toán tử số học (+ - * / %); toán tử gán và gán phức hợp (= += -= *= /= ++ --); toán tử so sánh (== != > < >= <=); toán tử logic (&& || !),"Bài tập tính biểu thức, đổi đơn vị, kiểm tra điều kiện logic kết hợp nhiều toán tử"
,Mục 4: Cấu trúc điều khiển rẽ nhánh,"Câu lệnh điều kiện thiếu và đủ: if, if...else; cấu trúc rẽ nhánh nhiều trường hợp if...else if...else; cấu trúc lựa chọn switch...case","Kiểm tra chẵn/lẻ, âm/dương, tìm số lớn nhất trong nhóm; bài tập phân loại bằng switch-case"
,Mục 5: Cấu trúc vòng lặp cơ bản,Vòng lặp xác định for (biết trước số lần lặp); vòng lặp không xác định while và do...while (lặp theo điều kiện),Tính tổng dãy số từ 1 đến n; liệt kê số chia hết cho 3 nhưng không chia hết cho 5; in bảng cửu chương
"LỚP 2
Lập trình cơ bản & Kỹ năng giải toán",Mục 1: Hàm (Function) và Tư duy chia nhỏ bài toán,"Cấu trúc hàm: kiểu trả về, tên hàm, danh sách tham số, thân hàm; phân biệt hàm có giá trị trả về và hàm void; biến toàn cục và biến cục bộ; cách gọi hàm và truyền tham số để tái sử dụng mã nguồn","Tách chương trình lớn thành các hàm nhỏ; viết hàm tính giai thừa, hàm tìm ƯCLN/BCNN"
,Mục 2: Làm việc với Tệp tin (File I/O),"Tầm quan trọng của đọc/ghi file trong thi Tin học trẻ và Chuyên Tin (thường dùng file .INP và .OUT); thư viện fstream (ifstream, ofstream); hàm freopen để chuyển hướng luồng nhập xuất (cách dùng phổ biến nhất trong thi đấu)",Bài tập đọc dữ liệu từ file .INP và ghi kết quả ra file .OUT đúng định dạng như đề thi thật
,Mục 3: Mảng một chiều (Array),"Khái niệm mảng: lưu trữ tập hợp phần tử cùng kiểu; khai báo, truy cập theo chỉ số (bắt đầu từ 0); dùng vòng lặp để nhập/xuất và xử lý mảng; tính tổng, tìm max/min, đếm phần tử thoả điều kiện; đảo ngược, xoá/chèn phần tử","Bài tập thống kê danh sách điểm số, tìm phần tử theo điều kiện, đảo mảng, chèn/xoá phần tử tại vị trí bất kỳ"
,Mục 4: Xâu ký tự (String),"Lớp string (<string> hoặc <cstring>); các hàm quan trọng: length(), erase(), find(); kỹ thuật chuẩn hoá xâu (xoá khoảng trắng thừa, đổi hoa/thường theo bảng mã ASCII); nhập xâu có khoảng trắng bằng getline()","Chuẩn hoá câu văn, đếm số từ trong câu, kiểm tra xâu đối xứng (palindrome)"
,Mục 5: Số học cơ bản trong lập trình (Trọng tâm THCS),"Số nguyên tố: định nghĩa, kiểm tra, liệt kê số nguyên tố nhỏ hơn n; Ước chung lớn nhất (ƯCLN) và Bội chung nhỏ nhất (BCNN); số Fibonacci (công thức truy hồi, tìm số thứ n); số đối xứng (palindrome) và số chính phương; phân tích một số ra thừa số nguyên tố",Liệt kê số nguyên tố nhỏ hơn n; tìm số Fibonacci thứ n; kiểm tra số chính phương; phân tích thừa số nguyên tố
,Mục 6: Sắp xếp dữ liệu cơ bản,Tầm quan trọng của sắp xếp trong giải toán; dùng hàm sort() trong thư viện <algorithm> để sắp xếp tăng/giảm dần,"Làm quen bài tập có định dạng file như đề thi thật: bài toán tính tiền điện, bài toán ốc sên bò cột, liệt kê các số đặc biệt"
"LỚP 3
Thuật toán & Luyện thi Chuyên/Tin học trẻ",Mục 1: Độ phức tạp và Các kỹ thuật nền tảng,"Đánh giá độ phức tạp thời gian O(n), O(n log n), O(n²)... để chọn thuật toán phù hợp với giới hạn đề bài; kỹ thuật Mảng cộng dồn (Prefix Sum) và mảng hiệu để xử lý truy vấn trên đoạn; kỹ thuật Hai con trỏ (Two Pointers); phép toán Bit (Bitwise) và ứng dụng cơ bản",Bài tập truy vấn tổng đoạn bằng Prefix Sum; tìm cặp/khoảng thoả điều kiện bằng Two Pointers; bài toán cơ bản dùng phép Bit
,Mục 2: Sắp xếp và Tìm kiếm nâng cao,Hiểu sâu thuật toán sắp xếp và ứng dụng cho bài toán tham lam/tìm kiếm; Tìm kiếm nhị phân (Binary Search) trên mảng đã sắp xếp và ứng dụng Tìm kiếm nhị phân trên kết quả (Binary Search on Answer),Bài toán tìm giá trị tối ưu (min/max thoả điều kiện) bằng Binary Search on Answer
,Mục 3: Đệ quy và Quay lui (Backtracking),"Tư duy đệ quy nâng cao và cách khử đệ quy; thuật toán quay lui để liệt kê cấu hình: tập con, hoán vị, tổ hợp; ứng dụng giải bài toán kinh điển: N quân hậu, bài toán xếp túi cơ bản",Cài đặt bài toán N quân hậu; sinh hoán vị/tổ hợp/tập con bằng quay lui
,Mục 4: Toán học và Lý thuyết số trong thi đấu,Ước chung lớn nhất (thuật toán Euclid) và Luỹ thừa nhị phân; Sàng nguyên tố (Prime Sieve) và kiểm tra số nguyên tố nhanh; các bài toán về Modulo (số dư) và Tổ hợp cơ bản,Tính luỹ thừa mod nhanh; sàng số nguyên tố tới 10^6; bài toán đếm tổ hợp cơ bản
,Mục 5: Thuật toán Tham lam (Greedy) và Quy hoạch động (DP),"Tham lam: lựa chọn tối ưu cục bộ để đạt tối ưu toàn cục (sắp xếp công việc, bài toán đổi tiền); nhập môn Quy hoạch động: xác định trạng thái, công thức truy hồi, bảng phương án; các bài DP kinh điển: Cái túi (Knapsack), Dãy con tăng dài nhất (LIS), bài toán Palindrome",Bài toán sắp xếp lịch công việc bằng Greedy; cài đặt Knapsack 0/1 kích thước nhỏ; tìm LIS; đếm/tìm xâu con đối xứng
,Mục 6: Lý thuyết Đồ thị cơ bản,"Cách biểu diễn đồ thị trong C++ (danh sách cạnh, danh sách kề); các thuật toán duyệt đồ thị: BFS và DFS; ứng dụng: tìm thành phần liên thông, đường đi ngắn nhất trên đồ thị không trọng số",Bài toán mê cung (tìm đường đi ngắn nhất bằng BFS); đếm số vùng/thành phần liên thông trong lưới hoặc đồ thị
,Mục 7: Kỹ năng thi đấu và Luyện đề,Kỹ thuật sinh test tự động (Stress test) để tìm lỗi sai bằng cách so sánh với code mẫu hoặc code trâu; kỹ năng viết trình chấm và tối ưu tốc độ thực thi (Fast I/O); luyện tập trực tiếp các bộ đề thi Tin học trẻ (cấp Tỉnh/Thành phố) và đề thi tuyển sinh vào lớp 10 Chuyên Tin,Tự viết script Stress test đối chiếu 2 lời giải; luyện tập đều đặn trên hệ thống Online Judge; giải đề thi thử bấm giờ theo đúng thời gian thi thật
